top - 13:00:58 up 5 min,  2 users,  load average: 0.60, 0.50, 0.23
Tasks: 148 total,   1 running, 147 sleeping,   0 stopped,   0 zombie
%Cpu(s): 16.7 us,  0.0 sy,  0.0 ni, 83.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :    426.2 total,     43.9 free,    228.2 used,    205.4 buff/cache     
MiB Swap:    512.0 total,    512.0 free,      0.0 used.    198.0 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
MiB Mem :    426.2 total,     36.8 free,    235.2 used,    205.5 buff/cache     
MiB Swap:    512.0 total,    512.0 free,      0.0 used.    191.0 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 1074 pi        20   0   69200  20376  11340 S  38.7   4.7   0:05.25 python
  817 pi        20   0   15156   6692   5100 S   0.9   1.5   0:00.59 sshd
  888 pi        20   0  204920  77152  45980 S   0.9  17.7   0:14.97 node
  917 pi        20   0  199016  49936  40936 S   0.9  11.4   0:01.95 node
  925 pi        20   0  235672 102000  52684 S   0.9  23.4   0:13.40 node
 1100 pi        20   0   12048   4652   2752 R   0.9   1.1   0:00.10 top
